segment,day,period,sample_size,travel_time,speed
lamar_38th$lamar_45th,4,pm_peak,485,116.4185567,23.65979381
lamar_38th$lamar_45th,5,am_off,101,72.77227723,33.48514851
lamar_38th$lamar_45th,5,am_peak,85,75.63529412,32.75294118
lamar_38th$lamar_45th,5,mid-day,549,91.59198543,27.06010929
lamar_38th$lamar_45th,5,pm_off,219,80.26484018,30.39726027
lamar_38th$lamar_45th,5,pm_peak,311,84.21864952,28.92282958
lamar_38th$lamar_45th,6,am_off,120,70.46666667,34.75
lamar_38th$lamar_45th,6,am_peak,54,83.09259259,29.74074074
lamar_38th$lamar_45th,6,mid-day,459,84.94771242,29.05010893
lamar_38th$lamar_45th,6,pm_off,235,79.35319149,31.1106383
lamar_38th$lamar_45th,6,pm_peak,339,82.19469027,30.06489676
lamar_38th$lamar_airport,0,am_off,5,322.8,32.4
lamar_38th$lamar_airport,0,am_peak,36,513.9722222,23.63888889
lamar_38th$lamar_airport,0,mid-day,140,444.7928571,24.42857143
lamar_38th$lamar_airport,0,pm_off,37,351.1891892,29.16216216
lamar_38th$lamar_airport,0,pm_peak,141,575.5460993,20.11347518
lamar_38th$lamar_airport,1,am_off,4,501.75,25.25
lamar_38th$lamar_airport,1,am_peak,55,438.8727273,25.10909091
lamar_38th$lamar_airport,1,mid-day,193,485.3834197,22.96373057
lamar_38th$lamar_airport,1,pm_off,46,373.8478261,27.97826087
lamar_38th$lamar_airport,1,pm_peak,121,788.322314,14.63636364
lamar_38th$lamar_airport,2,am_off,8,316.75,31.875
lamar_38th$lamar_airport,2,am_peak,29,382.3793103,27.24137931
lamar_38th$lamar_airport,2,mid-day,158,496.3924051,22.55696203
lamar_38th$lamar_airport,2,pm_off,48,382.375,27.66666667
lamar_38th$lamar_airport,2,pm_peak,96,704.8020833,16.98958333
lamar_38th$lamar_airport,3,am_off,4,339,29
lamar_38th$lamar_airport,3,am_peak,35,500.5142857,23.97142857
lamar_38th$lamar_airport,3,mid-day,159,501.1257862,22.48427673
lamar_38th$lamar_airport,3,pm_off,55,380.4545455,27.45454545
lamar_38th$lamar_airport,3,pm_peak,142,593.4577465,18.57746479
lamar_38th$lamar_airport,4,am_off,13,358.7692308,29.84615385
lamar_38th$lamar_airport,4,am_peak,35,394.2857143,25.82857143
lamar_38th$lamar_airport,4,mid-day,180,537.8555556,21.41666667
lamar_38th$lamar_airport,4,pm_off,42,395.5952381,25.64285714
lamar_38th$lamar_airport,4,pm_peak,111,656.972973,17.55855856
lamar_38th$lamar_airport,5,am_off,13,418.8461538,29.07692308
lamar_38th$lamar_airport,5,am_peak,10,627.7,26.5
lamar_38th$lamar_airport,5,mid-day,123,440.0813008,23.01626016
lamar_38th$lamar_airport,5,pm_off,34,391.2647059,25.32352941
lamar_38th$lamar_airport,5,pm_peak,89,433.7640449,23.6741573
lamar_38th$lamar_airport,6,am_off,10,315.4,32
lamar_38th$lamar_airport,6,am_peak,2,352,28
lamar_38th$lamar_airport,6,mid-day,89,478.4719101,24.46067416
lamar_38th$lamar_airport,6,pm_off,48,386.4375,27.22916667
lamar_38th$lamar_airport,6,pm_peak,79,456.8987342,24.79746835
lamar_45th$lamar_51st,0,am_off,51,71.17647059,29.96078431
lamar_45th$lamar_51st,0,am_peak,165,82.93333333,26.07878788
lamar_45th$lamar_51st,0,mid-day,642,81.05140187,27.12616822
lamar_45th$lamar_51st,0,pm_off,219,79.85388128,26.84474886
lamar_45th$lamar_51st,0,pm_peak,387,146.9922481,21.13436693
lamar_45th$lamar_51st,1,am_off,47,74.59574468,29.12765957
lamar_45th$lamar_51st,1,am_peak,214,77.51401869,27.78037383
lamar_45th$lamar_51st,1,mid-day,702,87.39316239,25.16951567
lamar_45th$lamar_51st,1,pm_off,237,85.61603376,25.48101266
lamar_45th$lamar_51st,1,pm_peak,404,198.5594059,15.73019802
lamar_45th$lamar_51st,2,am_off,36,78.58333333,27.52777778
lamar_45th$lamar_51st,2,am_peak,187,79.3368984,27.12299465
lamar_45th$lamar_51st,2,mid-day,604,89.11589404,24.9884106
lamar_45th$lamar_51st,2,pm_off,213,82.32394366,26.21126761
lamar_45th$lamar_51st,2,pm_peak,323,211.0588235,15.13622291
lamar_45th$lamar_51st,3,am_off,48,79.95833333,26.9375
lamar_45th$lamar_51st,3,am_peak,184,83.23913043,25.79347826
lamar_45th$lamar_51st,3,mid-day,544,87.61764706,25.29227941
lamar_45th$lamar_51st,3,pm_off,209,80.96172249,26.42583732
lamar_45th$lamar_51st,3,pm_peak,332,141.0060241,19.54216867
lamar_45th$lamar_51st,4,am_off,79,81.64556962,26.63291139
lamar_45th$lamar_51st,4,am_peak,195,80.70769231,26.92820513
lamar_45th$lamar_51st,4,mid-day,604,91.69039735,24.66721854
lamar_45th$lamar_51st,4,pm_off,212,84.96226415,25.66037736
lamar_45th$lamar_51st,4,pm_peak,333,157.1291291,19.46246246
lamar_45th$lamar_51st,5,am_off,79,73.29113924,29.18987342
lamar_45th$lamar_51st,5,am_peak,73,78.49315068,27.50684932
lamar_45th$lamar_51st,5,mid-day,435,93.92873563,22.56551724
lamar_45th$lamar_51st,5,pm_off,196,82.18367347,25.97959184
lamar_45th$lamar_51st,5,pm_peak,250,88.572,23.516
lamar_45th$lamar_51st,6,am_off,98,73.16326531,29.1122449
lamar_45th$lamar_51st,6,am_peak,45,72.68888889,28.71111111
lamar_45th$lamar_51st,6,mid-day,397,85.88664987,24.44836272
lamar_45th$lamar_51st,6,pm_off,210,84.78095238,25.30952381
lamar_45th$lamar_51st,6,pm_peak,289,86.20761246,24.39792388
lamar_51st$lamar_koenig,0,am_off,75,62.96,33.4
lamar_51st$lamar_koenig,0,am_peak,231,82.19047619,26.42857143
lamar_51st$lamar_koenig,0,mid-day,823,85.82260024,25.32806804
lamar_51st$lamar_koenig,0,pm_off,252,69.78174603,30.51587302
lamar_51st$lamar_koenig,0,pm_peak,499,95.27655311,23.36272545
lamar_51st$lamar_koenig,1,am_off,67,70.41791045,32.40298507
lamar_51st$lamar_koenig,1,am_peak,307,84.48208469,25.70032573
lamar_51st$lamar_koenig,1,mid-day,932,92.7167382,23.85300429
lamar_51st$lamar_koenig,1,pm_off,339,70.96755162,30.17699115
lamar_51st$lamar_koenig,1,pm_peak,706,118.8824363,19.31869688
lamar_51st$lamar_koenig,2,am_off,65,65.58461538,34.09230769
lamar_51st$lamar_koenig,2,am_peak,245,83.19183673,25.78367347
lamar_51st$lamar_koenig,2,mid-day,751,90.86418109,23.9747004
lamar_51st$lamar_koenig,2,pm_off,283,72.50530035,29.4204947
lamar_51st$lamar_koenig,2,pm_peak,569,113.2478032,20.14235501
lamar_51st$lamar_koenig,3,am_off,93,66.01075269,32.43010753
lamar_51st$lamar_koenig,3,am_peak,231,84.42857143,25.60606061
lamar_51st$lamar_koenig,3,mid-day,756,91.50661376,23.90740741
lamar_51st$lamar_koenig,3,pm_off,310,74.26774194,29.03870968
lamar_51st$lamar_koenig,3,pm_peak,586,104.1569966,21.37542662
lamar_51st$lamar_koenig,4,am_off,87,63.87356322,32.65517241
lamar_51st$lamar_koenig,4,am_peak,238,82.38655462,26.21008403
lamar_51st$lamar_koenig,4,mid-day,832,101.7475962,21.69951923
lamar_51st$lamar_koenig,4,pm_off,323,76.67801858,28.13003096
lamar_51st$lamar_koenig,4,pm_peak,543,108.1307551,20.98710866
lamar_51st$lamar_koenig,5,am_off,108,71.07407407,32.10185185
lamar_51st$lamar_koenig,5,am_peak,125,72.768,30.736
lamar_51st$lamar_koenig,5,mid-day,659,95.75872534,23.02731411
lamar_51st$lamar_koenig,5,pm_off,231,73.04761905,29.61038961
lamar_51st$lamar_koenig,5,pm_peak,417,90.05755396,24.49640288
lamar_51st$lamar_koenig,6,am_off,148,61.36486486,34.31081081
lamar_51st$lamar_koenig,6,am_peak,78,61.64102564,34.42307692
lamar_51st$lamar_koenig,6,mid-day,605,82.98016529,26.63305785
lamar_51st$lamar_koenig,6,pm_off,288,68.11111111,31.17361111
lamar_51st$lamar_koenig,6,pm_peak,404,80.15346535,27.22029703
lamar_5th$lamar_12th,0,am_off,27,64.81481481,28.62962963
lamar_5th$lamar_12th,0,am_peak,331,78.43504532,24.67069486
lamar_5th$lamar_12th,0,mid-day,471,87.63906582,22.39278132
lamar_5th$lamar_12th,0,pm_off,149,67.26174497,28.97315436
lamar_5th$lamar_12th,0,pm_peak,367,90.23705722,21.22888283
lamar_5th$lamar_12th,1,am_off,25,67.12,27.68
lamar_5th$lamar_12th,1,am_peak,335,75.24179104,25.78208955
lamar_5th$lamar_12th,1,mid-day,508,90.07874016,21.47440945
lamar_5th$lamar_12th,1,pm_off,169,71.86390533,27.04733728
lamar_5th$lamar_12th,1,pm_peak,371,100.0619946,20.01886792
lamar_5th$lamar_12th,2,am_off,35,59.71428571,31.62857143
lamar_5th$lamar_12th,2,am_peak,354,75.12711864,25.90677966
lamar_5th$lamar_12th,2,mid-day,534,93.76029963,21.14981273
lamar_5th$lamar_12th,2,pm_off,174,65.2183908,29.21264368
lamar_5th$lamar_12th,2,pm_peak,375,97.728,20.296
lamar_5th$lamar_12th,3,am_off,31,61.29032258,33
lamar_5th$lamar_12th,3,am_peak,326,77.52147239,25.04294479
lamar_5th$lamar_12th,3,mid-day,459,91.62309368,21.35947712
lamar_5th$lamar_12th,3,pm_off,171,64.54385965,29.09356725
lamar_5th$lamar_12th,3,pm_peak,383,91.31592689,21.21409922
lamar_5th$lamar_12th,4,am_off,43,64.02325581,30.30232558
lamar_5th$lamar_12th,4,am_peak,218,73.16513761,27.05963303
lamar_5th$lamar_12th,4,mid-day,376,97.56914894,20.04787234
lamar_5th$lamar_12th,4,pm_off,138,68.47101449,28.08695652
lamar_5th$lamar_12th,4,pm_peak,251,91.21115538,21.22310757
lamar_5th$lamar_12th,5,am_off,36,61.27777778,29.75
lamar_5th$lamar_12th,5,am_peak,68,66.39705882,28.95588235
lamar_5th$lamar_12th,5,mid-day,313,85.2715655,22.55591054
lamar_5th$lamar_12th,5,pm_off,136,67.875,27.96323529
lamar_5th$lamar_12th,5,pm_peak,187,82.23529412,23.92513369
lamar_5th$lamar_12th,6,am_off,61,71.32786885,30.03278689
lamar_5th$lamar_12th,6,am_peak,41,64.80487805,29.2195122
lamar_5th$lamar_12th,6,mid-day,355,78.87323944,24.7915493
lamar_5th$lamar_12th,6,pm_off,142,64.06338028,29.45774648
lamar_5th$lamar_12th,6,pm_peak,244,74.31967213,26.3647541
lamar_5th$lamar_24th,0,am_off,11,152.6363636,32.09090909
lamar_5th$lamar_24th,0,am_peak,131,192.480916,25.87022901
lamar_5th$lamar_24th,0,mid-day,235,200.5914894,24.98297872
lamar_5th$lamar_24th,0,pm_off,70,163.7142857,30.38571429
lamar_5th$lamar_24th,0,pm_peak,187,254.5775401,20.60962567
lamar_5th$lamar_24th,1,am_off,1,157,31
lamar_5th$lamar_24th,1,am_peak,144,187.0486111,26.6875
lamar_5th$lamar_24th,1,mid-day,281,205.0071174,24.57651246
lamar_5th$lamar_24th,1,pm_off,84,170.4047619,29.27380952
lamar_5th$lamar_24th,1,pm_peak,207,315.6231884,17.98067633
lamar_5th$lamar_24th,2,am_off,7,161.4285714,30.71428571
lamar_5th$lamar_24th,2,am_peak,138,183.4347826,27.29710145
lamar_5th$lamar_24th,2,mid-day,286,211.0524476,24.1048951
lamar_5th$lamar_24th,2,pm_off,76,170.4210526,29.21052632
lamar_5th$lamar_24th,2,pm_peak,185,301.2216216,18.56216216
lamar_5th$lamar_24th,3,am_off,11,149.9090909,32.81818182
lamar_5th$lamar_24th,3,am_peak,141,188.5886525,26.29787234
lamar_5th$lamar_24th,3,mid-day,268,203.5,24.72014925
lamar_5th$lamar_24th,3,pm_off,96,174.0833333,28.58333333
lamar_5th$lamar_24th,3,pm_peak,202,272.6287129,19.77227723
lamar_5th$lamar_24th,4,am_off,17,167.5882353,30.05882353
lamar_5th$lamar_24th,4,am_peak,90,184.2222222,27.31111111
lamar_5th$lamar_24th,4,mid-day,224,225.6741071,22.68303571
lamar_5th$lamar_24th,4,pm_off,59,178.0677966,27.91525424
lamar_5th$lamar_24th,4,pm_peak,130,258.4769231,20.16153846
lamar_5th$lamar_24th,5,am_off,14,226.4285714,26
lamar_5th$lamar_24th,5,am_peak,24,160.9166667,30.79166667
lamar_5th$lamar_24th,5,mid-day,167,188.1916168,26.45508982
lamar_5th$lamar_24th,5,pm_off,67,184.9701493,27.52238806
lamar_5th$lamar_24th,5,pm_peak,89,184.0224719,27.30337079
lamar_5th$lamar_24th,6,am_off,29,200.5862069,28.65517241
lamar_5th$lamar_24th,6,am_peak,6,193,26.33333333
lamar_5th$lamar_24th,6,mid-day,188,185.1648936,27.32446809
lamar_5th$lamar_24th,6,pm_off,78,165.9102564,30
lamar_5th$lamar_24th,6,pm_peak,118,171.720339,29.38983051
lamar_5th$lamar_6th,0,am_off,218,37.43577982,13.39449541
lamar_5th$lamar_6th,0,am_peak,604,22.26324503,21.93377483
lamar_5th$lamar_6th,0,mid-day,798,25.27944862,19.65288221
lamar_5th$lamar_6th,0,pm_off,314,30.00636943,17.80573248
lamar_5th$lamar_6th,0,pm_peak,531,20.49717514,22.18832392
lamar_5th$lamar_6th,1,am_off,299,38.11705686,14.07023411
lamar_5th$lamar_6th,1,am_peak,651,23.66973886,20.87250384
lamar_5th$lamar_6th,1,mid-day,932,25.65665236,18.7972103
lamar_5th$lamar_6th,1,pm_off,333,24.25525526,19.57357357
lamar_5th$lamar_6th,1,pm_peak,516,19.51356589,22.69186047
lamar_5th$lamar_6th,2,am_off,135,32.44444444,17.32592593
lamar_5th$lamar_6th,2,am_peak,567,22.2345679,21.59435626
lamar_5th$lamar_6th,2,mid-day,968,26.18801653,19.31818182
lamar_5th$lamar_6th,2,pm_off,395,27.7443038,18.90886076
lamar_5th$lamar_6th,2,pm_peak,550,19.54727273,22.01090909
lamar_5th$lamar_6th,3,am_off,351,33.58689459,16.04843305
lamar_5th$lamar_6th,3,am_peak,654,23.78440367,20.82415902
lamar_5th$lamar_6th,3,mid-day,800,25.075,19.33875
lamar_5th$lamar_6th,3,pm_off,443,27.24604966,19.88713318
