segment,day,period,travel_time,sample_size
lamar_lamar_square,2,pm-peak,95.92579075,822
lamar_lamar_square,3,am_off,56.26984127,126
lamar_lamar_square,3,am_peak,164.2212042,764
lamar_lamar_square,3,mid-day,88.05365854,1640
lamar_lamar_square,3,pm-off,73.74347158,651
lamar_lamar_square,3,pm-peak,98.43092406,1093
lamar_lamar_square,4,am_off,60.8125,208
lamar_lamar_square,4,am_peak,98.08627451,1020
lamar_lamar_square,4,mid-day,101.4924898,2197
lamar_lamar_square,4,pm-off,77.80131004,916
lamar_lamar_square,4,pm-peak,102.2343234,1212
lamar_lamar_square,5,am_off,61.74309392,362
lamar_lamar_square,5,am_peak,63.29186603,418
lamar_lamar_square,5,mid-day,106.2055295,1917
lamar_lamar_square,5,pm-off,76.04072883,933
lamar_lamar_square,5,pm-peak,93.18829707,1333
lamar_lamar_square,6,am_off,62.95522388,335
lamar_lamar_square,6,am_peak,66.41035857,251
lamar_lamar_square,6,mid-day,84.73809524,1218
lamar_lamar_square,6,pm-off,67.33485194,439
lamar_lamar_square,6,pm-peak,78.28836634,808
lamar_oltorf,0,am_off,68.74590164,122
lamar_oltorf,0,am_peak,88.91928251,892
lamar_oltorf,0,mid-day,78.87422796,1781
lamar_oltorf,0,pm-off,71.4309816,652
lamar_oltorf,0,pm-peak,102.9261234,1313
lamar_oltorf,1,am_off,63.19852941,136
lamar_oltorf,1,am_peak,100.384106,1057
lamar_oltorf,1,mid-day,79.08237748,1918
lamar_oltorf,1,pm-off,73.0385208,649
lamar_oltorf,1,pm-peak,98.61936438,1353
lamar_oltorf,2,am_off,65.5443038,158
lamar_oltorf,2,am_peak,139.7605096,785
lamar_oltorf,2,mid-day,81.24287343,1754
lamar_oltorf,2,pm-off,77.79056865,721
lamar_oltorf,2,pm-peak,106.1443299,1261
lamar_oltorf,3,am_off,62.64634146,164
lamar_oltorf,3,am_peak,127.7993827,972
lamar_oltorf,3,mid-day,81.40724425,2043
lamar_oltorf,3,pm-off,78.34449761,836
lamar_oltorf,3,pm-peak,95.6991404,1396
lamar_oltorf,4,am_off,69.20992366,262
lamar_oltorf,4,am_peak,74.25418327,1255
lamar_oltorf,4,mid-day,86.95022288,2692
lamar_oltorf,4,pm-off,76.13162393,1170
lamar_oltorf,4,pm-peak,100.236927,1549
lamar_oltorf,5,am_off,70.12616822,428
lamar_oltorf,5,am_peak,68.37847866,539
lamar_oltorf,5,mid-day,87.73053404,2453
lamar_oltorf,5,pm-off,76.42857143,1190
lamar_oltorf,5,pm-peak,84.77440873,1649
lamar_oltorf,6,am_off,64.47246377,345
lamar_oltorf,6,am_peak,72.33090909,275
lamar_oltorf,6,mid-day,81.50341064,1466
lamar_oltorf,6,pm-off,74.58768657,536
lamar_oltorf,6,pm-peak,81.56578947,988
